CH1,CH2,CH3,CH4
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.53E-03,1.13E-01,-1.30E-01
-1.16E-02,4.42E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.39E-03,1.14E-01,-1.30E-01
-1.17E-02,4.50E-03,1.14E-01,-1.30E-01
-1.13E-02,4.53E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.23E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.35E-03,1.14E-01,-1.30E-01
-1.23E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.54E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.40E-03,1.14E-01,-1.30E-01
-1.17E-02,4.51E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.13E-01,-1.30E-01
-1.16E-02,4.44E-03,1.14E-01,-1.30E-01
-1.22E-02,4.36E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.14E-01,-1.30E-01
-1.16E-02,4.45E-03,1.14E-01,-1.30E-01
-1.22E-02,4.37E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.14E-01,-1.30E-01
-1.16E-02,4.45E-03,1.14E-01,-1.30E-01
-1.22E-02,4.37E-03,1.14E-01,-1.30E-01
-1.22E-02,4.41E-03,1.14E-01,-1.30E-01
-1.17E-02,4.52E-03,1.14E-01,-1.30E-01
-1.13E-02,4.55E-03,1.14E-01,-1.30E-01
-1.16E-02,4.45E-03,1.14E-01,-1.30E-01
-1.22E-02,4.37E-03,1.14E-01,-1.30E-01
-1.22E-02,4.42E-03,1.14E-01,-1.30E-01
-1.17E-02,4.53E-03,1.14E-01,-1.30E-01
-1.13E-02,4.56E-03,1.14E-01,-1.30E-01
-1.16E-02,4.45E-03,1.14E-01,-1.30E-01
-1.22E-02,4.37E-03,1.14E-01,-1.30E-01
-1.22E-02,4.42E-03,1.14E-01,-1.30E-01
-1.17E-02,4.53E-03,1.14E-01,-1.30E-01
-1.13E-02,4.56E-03,1.14E-01,-1.30E-01
-1.16E-02,4.46E-03,1.14E-01,-1.30E-01
-1.22E-02,4.38E-03,1.14E-01,-1.30E-01
-1.22E-02,4.42E-03,1.14E-01,-1.30E-01
-1.17E-02,4.53E-03,1.14E-01,-1.30E-01
-1.13E-02,4.56E-03,1.14E-01,-1.30E-01
-1.16E-02,4.46E-03,1.14E-01,-1.30E-01
-1.22E-02,4.38E-03,1.14E-01,-1.30E-01
-1.22E-02,4.42E-03,1.14E-01,-1.30E-01
-1.17E-02,4.53E-03,1.14E-01,-1.30E-01
-1.13E-02,4.57E-03,1.14E-01,-1.30E-01
-1.16E-02,4.46E-03,1.14E-01,-1.30E-01
-1.22E-02,4.39E-03,1.14E-01,-1.30E-01
-1.22E-02,4.43E-03,1.14E-01,-1.30E-01
-1.17E-02,4.54E-03,1.14E-01,-1.30E-01
-1.13E-02,4.58E-03,1.14E-01,-1.30E-01
-1.16E-02,4.47E-03,1.14E-01,-1.30E-01
-1.22E-02,4.39E-03,1.14E-01,-1.30E-01
-1.22E-02,4.44E-03,1.14E-01,-1.30E-01
-1.17E-02,4.55E-03,1.14E-01,-1.30E-01
-1.13E-02,4.58E-03,1.14E-01,-1.30E-01
-1.16E-02,4.47E-03,1.14E-01,-1.30E-01
-1.21E-02,4.39E-03,1.14E-01,-1.30E-01
-1.22E-02,4.44E-03,1.14E-01,-1.30E-01
-1.17E-02,4.55E-03,1.14E-01,-1.30E-01
-1.13E-02,4.58E-03,1.14E-01,-1.30E-01
-1.16E-02,4.48E-03,1.14E-01,-1.30E-01
-1.21E-02,4.41E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.50E-03,1.14E-01,-1.30E-01
-1.21E-02,4.41E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.49E-03,1.14E-01,-1.30E-01
-1.21E-02,4.41E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.49E-03,1.14E-01,-1.30E-01
-1.21E-02,4.41E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.50E-03,1.14E-01,-1.30E-01
-1.21E-02,4.42E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.50E-03,1.14E-01,-1.30E-01
-1.21E-02,4.42E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.60E-03,1.14E-01,-1.30E-01
-1.16E-02,4.50E-03,1.14E-01,-1.30E-01
-1.21E-02,4.41E-03,1.14E-01,-1.30E-01
-1.22E-02,4.46E-03,1.14E-01,-1.30E-01
-1.17E-02,4.57E-03,1.14E-01,-1.30E-01
-1.13E-02,4.61E-03,1.14E-01,-1.30E-01
-1.16E-02,4.50E-03,1.14E-01,-1.30E-01
-1.21E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.47E-03,1.14E-01,-1.30E-01
-1.17E-02,4.58E-03,1.14E-01,-1.30E-01
-1.13E-02,4.61E-03,1.14E-01,-1.30E-01
-1.15E-02,4.51E-03,1.14E-01,-1.30E-01
-1.21E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.48E-03,1.14E-01,-1.30E-01
-1.17E-02,4.58E-03,1.14E-01,-1.30E-01
-1.13E-02,4.62E-03,1.14E-01,-1.30E-01
-1.15E-02,4.52E-03,1.14E-01,-1.30E-01
-1.21E-02,4.43E-03,1.14E-01,-1.30E-01
-1.22E-02,4.48E-03,1.14E-01,-1.30E-01
-1.17E-02,4.59E-03,1.14E-01,-1.30E-01
-1.13E-02,4.63E-03,1.14E-01,-1.30E-01
-1.15E-02,4.53E-03,1.14E-01,-1.30E-01
-1.21E-02,4.46E-03,1.14E-01,-1.30E-01
-1.22E-02,4.51E-03,1.14E-01,-1.30E-01
-1.17E-02,4.62E-03,1.14E-01,-1.30E-01
-1.12E-02,4.66E-03,1.14E-01,-1.30E-01
-1.15E-02,4.56E-03,1.14E-01,-1.30E-01
-1.21E-02,4.49E-03,1.14E-01,-1.30E-01
-1.22E-02,4.53E-03,1.14E-01,-1.30E-01
-1.17E-02,4.64E-03,1.14E-01,-1.30E-01
-1.12E-02,4.68E-03,1.14E-01,-1.30E-01
-1.15E-02,4.57E-03,1.14E-01,-1.30E-01
-1.21E-02,4.49E-03,1.14E-01,-1.30E-01
-1.22E-02,4.53E-03,1.14E-01,-1.30E-01
